keyword,score
as,44.31233208673623
lebanon,37.91214890813126
by,34.493200839927816
russian,33.0889721169278
from,32.58957530387497
ceasefire,32.214639374928204
russia,32.10629500938015
live,31.98939408082508
war,31.52334805693639
trump,28.929802778669345
blog,28.864172482605635
live blog,28.864172482605635
israeli,28.495327745347208
over,28.06434309401317
field,24.574505483927076
president,23.561604475868624
class,23.440396050019434
href,23.363397482410004
www,22.901261787989537
will,22.796983417466443
https,22.553352959698827
https www,22.438087142872238
href https,22.33088571379473
hormuz,21.615573002565817
not,19.710816593825765
who,19.535409518770134
com,19.386147349863677
blog update,19.242781655070427
update,19.242781655070427
military,18.738978711403565
